"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"26.02.2020","12.774,88","12.682,16","12.849,17","12.368,05","-","-0,12%"
"25.02.2020","12.790,49","13.132,04","13.132,04","12.778,66","129,55M","-1,88%"
"24.02.2020","13.035,24","13.231,38","13.236,58","12.982,14","165,15M","-4,01%"
"21.02.2020","13.579,33","13.609,94","13.689,23","13.500,50","108,77M","-0,62%"
"20.02.2020","13.664,00","13.774,44","13.788,41","13.664,00","86,44M","-0,91%"
"19.02.2020","13.789,00","13.751,05","13.789,00","13.710,78","90,19M","0,79%"
"18.02.2020","13.681,19","13.668,94","13.731,39","13.660,45","82,09M","-0,75%"
"17.02.2020","13.783,89","13.770,67","13.795,24","13.754,04","57,40M","0,29%"
"14.02.2020","13.744,21","13.756,47","13.788,51","13.728,12","66,31M","-0,01%"
"13.02.2020","13.745,43","13.695,93","13.745,43","13.576,96","92,09M","-0,03%"
"12.02.2020","13.749,78","13.671,15","13.758,70","13.658,15","86,73M","0,89%"
"11.02.2020","13.627,84","13.604,74","13.668,43","13.557,96","104,75M","0,99%"
"10.02.2020","13.494,03","13.476,00","13.501,74","13.445,41","60,46M","-0,15%"
"07.02.2020","13.513,81","13.530,77","13.551,03","13.463,98","87,04M","-0,45%"
"06.02.2020","13.574,82","13.570,33","13.606,97","13.533,66","114,57M","0,72%"
"05.02.2020","13.478,33","13.224,27","13.488,58","13.223,14","108,45M","1,48%"
"04.02.2020","13.281,74","13.135,61","13.282,63","13.131,07","80,89M","1,81%"
"03.02.2020","13.045,19","13.033,17","13.077,57","12.987,53","81,39M","0,49%"
"31.01.2020","12.981,97","13.196,80","13.208,47","12.973,70","106,90M","-1,33%"
"30.01.2020","13.157,12","13.186,49","13.262,18","13.118,97","100,71M","-1,41%"
"29.01.2020","13.345,00","13.316,42","13.371,30","13.296,03","67,88M","0,16%"
"28.01.2020","13.323,69","13.274,01","13.327,12","13.163,36","91,83M","0,90%"
"27.01.2020","13.204,77","13.374,99","13.399,42","13.195,28","101,41M","-2,74%"
