date;Zuletzt;Eröffn.;Hoch;Tief;Vol.;+/- %;;;;
2011-12-01;6.035,88;6.080,48;6.111,97;6.017,38;153,04M;-0,87%;;;;
2011-11-30;6.088,84;5.741,21;6.130,68;5.725,98;244,42M;4,98%;;;;
2011-11-29;5.799,91;5.725,68;5.826,35;5.690,57;143,66M;0,95%;;;;
2011-11-28;5.745,33;5.577,19;5.754,51;5.573,00;172,62M;4,60%;;;;
2011-11-25;5.492,87;5.433,30;5.528,64;5.366,50;135,41M;1,19%;;;;
2011-11-24;5.428,11;5.512,76;5.563,82;5.399,85;157,73M;-0,54%;;;;
2011-11-23;5.457,77;5.485,67;5.588,11;5.457,77;236,21M;-1,44%;;;;
2011-11-22;5.537,39;5.648,50;5.681,74;5.537,39;245,73M;-1,22%;;;;
2011-11-21;5.606,00;5.767,09;5.771,70;5.598,05;182,78M;-3,35%;;;;
2011-11-18;5.800,24;5.800,79;5.897,99;5.769,69;153,52M;-0,85%;;;;
2011-11-17;5.850,17;5.875,86;5.921,25;5.778,10;180,84M;-1,07%;;;;
2011-11-16;5.913,36;5.873,29;6.028,23;5.852,04;139,96M;-0,33%;;;;
2011-11-15;5.933,14;5.920,43;6.011,47;5.815,85;140,68M;-0,87%;;;;
2011-11-14;5.985,02;6.097,27;6.116,07;5.934,09;133,94M;-1,19%;;;;
2011-11-11;6.057,03;5.881,49;6.065,29;5.855,12;144,52M;3,22%;;;;
2011-11-10;5.867,81;5.732,32;5.934,31;5.721,97;201,64M;0,66%;;;;
2011-11-09;5.829,54;6.045,87;6.055,58;5.767,26;251,01M;-2,21%;;;;
2011-11-08;5.961,44;5.950,44;6.087,06;5.934,23;144,45M;0,55%;;;;
2011-11-07;5.928,68;5.905,93;6.028,59;5.835,09;158,21M;-0,63%;;;;
2011-11-04;5.966,16;6.175,43;6.175,43;5.928,92;198,96M;-2,72%;;;;
2011-11-03;6.133,18;5.835,36;6.193,34;5.832,03;237,53M;2,81%;;;;
2011-11-02;5.965,63;5.897,14;5.990,56;5.810,79;177,75M;2,25%;;;;
2011-11-01;5.834,51;5.934,54;5.947,58;5.762,26;291,72M;-5,00%;;;;
2011-10-31;6.141,34;6.283,19;6.304,84;6.141,34;173,80M;-3,23%;;;;
2011-10-28;6.346,19;6.364,18;6.430,60;6.305,50;207,68M;0,13%;;;;
2011-10-27;6.337,84;6.222,75;6.347,60;6.196,60;333,79M;5,35%;;;;
2011-10-26;6.016,07;6.041,16;6.143,56;5.951,82;151,17M;-0,51%;;;;
2011-10-25;6.046,75;6.026,45;6.157,93;5.964,28;171,99M;-0,14%;;;;
2011-10-24;6.055,27;6.014,36;6.067,16;5.937,58;143,51M;1,41%;;;;
2011-10-21;5.970,96;5.800,06;5.980,46;5.769,19;176,84M;3,55%;;;;
2011-10-20;5.766,48;5.834,42;5.914,87;5.752,83;172,12M;-2,49%;;;;
2011-10-19;5.913,53;5.909,58;5.977,75;5.874,85;141,35M;0,61%;;;;
2011-10-18;5.877,41;5.781,77;5.907,46;5.747,65;153,04M;0,31%;;;;
2011-10-17;5.859,43;6.021,29;6.081,41;5.819,97;177,50M;-1,81%;;;;
2011-10-14;5.967,20;5.934,78;6.037,29;5.885,39;185,19M;0,89%;;;;
2011-10-13;5.914,84;5.969,91;6.036,02;5.878,29;184,77M;-1,33%;;;;
2011-10-12;5.994,47;5.851,10;6.022,05;5.798,16;183,86M;2,21%;;;;
2011-10-11;5.865,01;5.825,91;5.883,38;5.773,88;139,41M;0,30%;;;;
2011-10-10;5.847,29;5.705,40;5.872,15;5.652,99;147,42M;3,02%;;;;
2011-10-07;5.675,70;5.647,66;5.749,13;5.606,32;166,60M;0,54%;;;;
2011-10-06;5.645,25;5.511,56;5.645,25;5.465,55;210,85M;3,15%;;;;
2011-10-05;5.473,03;5.341,43;5.486,03;5.266,14;178,81M;4,91%;;;;
2011-10-04;5.216,71;5.284,11;5.288,78;5.125,44;204,74M;-2,98%;;;;
2011-10-03;5.376,70;5.311,93;5.437,74;5.289,04;132,11M;-2,28%;;;;
2011-09-30;5.502,02;5.602,55;5.606,56;5.438,55;179,77M;-2,44%;;;;
2011-09-29;5.639,58;5.555,07;5.704,41;5.533,33;182,95M;1,10%;;;;
2011-09-28;5.578,42;5.560,60;5.700,08;5.520,59;181,76M;-0,89%;;;;
2011-09-27;5.628,44;5.502,89;5.638,04;5.483,23;245,88M;5,29%;;;;
2011-09-26;5.345,56;5.128,56;5.415,56;5.118,19;211,13M;2,87%;;;;
2011-09-23;5.196,56;5.227,09;5.229,60;4.973,92;198,77M;0,63%;;;;
2011-09-22;5.164,21;5.258,42;5.289,77;5.135,85;203,15M;-4,96%;;;;
2011-09-21;5.433,80;5.557,07;5.557,92;5.417,85;149,19M;-2,47%;;;;
2011-09-20;5.571,68;5.373,53;5.577,60;5.369,07;158,69M;2,88%;;;;
2011-09-19;5.415,91;5.447,32;5.496,94;5.362,01;161,28M;-2,83%;;;;
2011-09-16;5.573,51;5.607,51;5.655,95;5.524,22;377,71M;1,18%;;;;
2011-09-15;5.508,24;5.386,86;5.566,58;5.374,57;235,48M;3,15%;;;;
2011-09-14;5.340,19;5.108,10;5.347,82;5.105,82;231,78M;3,36%;;;;
2011-09-13;5.166,36;5.153,95;5.222,81;4.969,84;284,11M;1,85%;;;;
2011-09-12;5.072,33;5.063,59;5.126,52;4.965,80;265,14M;-2,27%;;;;
2011-09-09;5.189,93;5.383,63;5.400,79;5.174,24;229,31M;-4,04%;;;;
2011-09-08;5.408,46;5.410,08;5.473,68;5.313,78;161,72M;0,05%;;;;
2011-09-07;5.405,53;5.332,52;5.406,23;5.276,88;180,82M;4,07%;;;;
2011-09-06;5.193,97;5.248,31;5.332,11;5.150,05;238,11M;-1,00%;;;;
2011-09-05;5.246,18;5.409,87;5.421,11;5.208,37;202,46M;-5,28%;;;;
2011-09-02;5.538,33;5.623,70;5.635,50;5.493,31;182,04M;-3,36%;;;;
2011-09-01;5.730,63;5.793,10;5.794,50;5.639,03;188,57M;-0,94%;;;;
2011-08-31;5.784,85;5.686,26;5.869,65;5.648,97;245,79M;2,50%;;;;
2011-08-30;5.643,92;5.713,53;5.730,36;5.572,65;132,99M;-0,46%;;;;
2011-08-29;5.670,07;5.634,06;5.714,72;5.587,78;99,26M;2,39%;;;;
2011-08-26;5.537,48;5.582,50;5.588,69;5.403,58;172,50M;-0,84%;;;;
2011-08-25;5.584,14;5.739,86;5.777,04;5.451,52;225,57M;-1,71%;;;;
2011-08-24;5.681,08;5.579,80;5.743,10;5.514,15;162,59M;2,69%;;;;
2011-08-23;5.532,38;5.529,26;5.636,06;5.452,15;186,61M;1,07%;;;;
2011-08-22;5.473,78;5.412,75;5.591,35;5.408,71;182,96M;-0,11%;;;;
2011-08-19;5.480,00;5.581,51;5.595,15;5.345,36;351,40M;-2,19%;;;;
2011-08-18;5.602,80;5.854,36;5.892,57;5.535,61;325,97M;-5,82%;;;;
2011-08-17;5.948,94;5.910,50;6.018,37;5.870,17;161,67M;-0,77%;;;;
2011-08-16;5.994,90;5.957,94;5.998,31;5.849,52;166,06M;-0,45%;;;;
2011-08-15;6.022,24;6.075,59;6.106,11;6.008,01;143,25M;0,41%;;;;
2011-08-12;5.997,74;5.775,96;6.023,75;5.678,62;255,81M;3,45%;;;;
2011-08-11;5.797,66;5.771,21;5.825,08;5.487,82;358,98M;3,28%;;;;
2011-08-10;5.613,42;6.040,68;6.089,08;5.549,02;433,03M;-5,13%;;;;
2011-08-09;5.917,08;5.896,14;6.026,27;5.502,63;435,79M;-0,10%;;;;
2011-08-08;5.923,27;6.170,69;6.272,94;5.911,09;314,80M;-5,02%;;;;
2011-08-05;6.236,16;6.338,77;6.436,66;6.152,62;360,00M;-2,78%;;;;
2011-08-04;6.414,76;6.714,79;6.730,43;6.391,54;288,06M;-3,40%;;;;
2011-08-03;6.640,59;6.717,84;6.783,07;6.543,60;265,05M;-2,30%;;;;
2011-08-02;6.796,75;6.909,43;6.938,34;6.772,38;182,74M;-2,26%;;;;
2011-08-01;6.953,98;7.254,50;7.282,01;6.953,98;189,25M;-2,86%;;;;
2011-07-29;7.158,77;7.108,27;7.190,91;7.063,82;142,83M;-0,44%;;;;
2011-07-28;7.190,06;7.163,95;7.203,01;7.110,13;164,84M;-0,86%;;;;
2011-07-27;7.252,68;7.315,75;7.344,17;7.216,58;133,57M;-1,32%;;;;
2011-07-26;7.349,45;7.369,89;7.382,80;7.302,50;140,21M;0,07%;;;;
2011-07-25;7.344,54;7.273,60;7.366,78;7.258,52;111,47M;0,25%;;;;
2011-07-22;7.326,39;7.308,48;7.357,25;7.266,79;200,09M;0,50%;;;;
2011-07-21;7.290,14;7.243,79;7.324,79;7.140,50;244,58M;0,95%;;;;
2011-07-20;7.221,36;7.250,18;7.263,18;7.166,37;171,13M;0,40%;;;;
2011-07-19;7.192,67;7.148,48;7.236,44;7.139,76;165,01M;1,19%;;;;
2011-07-18;7.107,92;7.162,82;7.171,55;7.089,09;168,93M;-1,55%;;;;
2011-07-15;7.220,12;7.188,70;7.254,10;7.139,68;206,98M;0,07%;;;;
2011-07-14;7.214,74;7.204,94;7.267,28;7.197,49;136,79M;-0,73%;;;;
2011-07-13;7.267,87;7.171,47;7.280,16;7.163,09;154,20M;1,31%;;;;
2011-07-12;7.174,14;7.112,19;7.190,47;6.996,26;252,97M;-0,78%;;;;
2011-07-11;7.230,25;7.352,73;7.358,50;7.188,96;197,08M;-2,33%;;;;
2011-07-08;7.402,73;7.502,83;7.523,53;7.389,80;138,52M;-0,92%;;;;
2011-07-07;7.471,44;7.467,82;7.516,15;7.442,98;127,08M;0,54%;;;;
2011-07-06;7.431,19;7.443,93;7.450,71;7.396,74;121,35M;-0,11%;;;;
2011-07-05;7.439,44;7.433,13;7.474,93;7.424,73;93,83M;-0,05%;;;;
2011-07-04;7.442,96;7.427,14;7.450,38;7.416,73;84,66M;0,32%;;;;
2011-07-01;7.419,44;7.374,49;7.443,20;7.357,03;141,25M;0,59%;;;;
2011-06-30;7.376,24;7.310,34;7.378,35;7.285,44;116,70M;1,13%;;;;
2011-06-29;7.294,14;7.230,95;7.320,30;7.230,95;148,48M;1,73%;;;;
2011-06-28;7.170,43;7.138,50;7.187,08;7.075,19;137,24M;0,88%;;;;
2011-06-27;7.107,90;7.101,15;7.144,44;7.079,11;149,93M;-0,19%;;;;
2011-06-24;7.121,38;7.231,73;7.273,32;7.099,22;167,16M;-0,39%;;;;
2011-06-23;7.149,44;7.225,20;7.237,20;7.118,52;132,11M;-1,77%;;;;
2011-06-22;7.278,19;7.285,93;7.310,10;7.262,37;123,71M;-0,10%;;;;
2011-06-21;7.285,51;7.202,88;7.285,51;7.176,74;137,26M;1,89%;;;;
2011-06-20;7.150,21;7.078,59;7.158,24;7.063,86;103,23M;-0,19%;;;;
2011-06-17;7.164,05;7.084,27;7.224,11;7.037,24;370,10M;0,76%;;;;
2011-06-16;7.110,20;7.062,18;7.111,64;7.017,98;161,15M;-0,07%;;;;
2011-06-15;7.115,08;7.178,05;7.202,17;7.093,23;123,85M;-1,25%;;;;
2011-06-14;7.204,79;7.165,14;7.231,49;7.161,21;113,23M;1,69%;;;;
2011-06-13;7.085,14;7.075,91;7.123,88;7.040,42;66,73M;0,22%;;;;
2011-06-10;7.069,90;7.152,55;7.182,83;7.050,84;136,63M;-1,25%;;;;
2011-06-09;7.159,66;7.061,87;7.183,78;7.035,86;149,28M;1,41%;;;;
2011-06-08;7.060,23;7.076,31;7.089,15;6.991,62;145,47M;-0,61%;;;;
2011-06-07;7.103,25;7.094,14;7.147,63;7.086,90;116,85M;0,26%;;;;
2011-06-06;7.084,57;7.095,40;7.124,31;7.062,73;113,84M;-0,34%;;;;
2011-06-03;7.109,03;7.101,48;7.120,12;7.021,36;162,45M;0,49%;;;;
2011-06-02;7.074,12;7.155,86;7.157,59;7.074,12;111,56M;-1,99%;;;;
2011-06-01;7.217,43;7.310,56;7.314,66;7.193,89;228,39M;-1,05%;;;;
2011-05-31;7.293,69;7.240,12;7.319,69;7.238,77;216,65M;1,86%;;;;
2011-05-30;7.160,30;7.165,00;7.204,16;7.146,98;98,88M;-0,04%;;;;
2011-05-27;7.163,47;7.205,13;7.208,48;7.115,48;190,77M;0,69%;;;;
2011-05-26;7.114,09;7.202,72;7.217,24;7.087,32;225,57M;-0,79%;;;;
2011-05-25;7.170,94;7.079,25;7.183,80;7.071,42;240,86M;0,28%;;;;
2011-05-24;7.150,66;7.129,94;7.202,21;7.128,04;192,41M;0,41%;;;;
2011-05-23;7.121,52;7.158,08;7.166,15;7.105,20;185,38M;-2,00%;;;;
2011-05-20;7.266,82;7.372,18;7.410,31;7.228,13;286,35M;-1,24%;;;;
2011-05-19;7.358,23;7.360,47;7.415,65;7.316,74;124,05M;0,75%;;;;
2011-05-18;7.303,53;7.325,85;7.340,54;7.261,29;94,21M;0,65%;;;;
2011-05-17;7.256,65;7.346,81;7.368,98;7.253,89;117,67M;-1,77%;;;;
2011-05-16;7.387,54;7.348,12;7.402,52;7.284,96;154,71M;-0,21%;;;;
2011-05-13;7.403,31;7.486,20;7.511,09;7.391,14;136,91M;-0,55%;;;;
2011-05-12;7.443,95;7.438,02;7.443,95;7.356,76;154,68M;-0,68%;;;;
2011-05-11;7.495,05;7.526,56;7.566,41;7.469,63;118,54M;-0,09%;;;;
2011-05-10;7.501,52;7.446,44;7.533,86;7.423,33;107,86M;1,23%;;;;
2011-05-09;7.410,52;7.461,35;7.489,09;7.379,97;121,92M;-1,09%;;;;
2011-05-06;7.492,25;7.391,04;7.501,63;7.362,55;175,80M;1,56%;;;;
2011-05-05;7.376,96;7.416,38;7.423,96;7.291,39;194,78M;0,04%;;;;
2011-05-04;7.373,93;7.475,18;7.534,26;7.355,40;182,27M;-1,69%;;;;
2011-05-03;7.500,70;7.518,60;7.523,68;7.446,83;142,24M;-0,36%;;;;
2011-05-02;7.527,64;7.570,86;7.600,41;7.527,64;92,28M;0,18%;;;;
2011-04-29;7.514,46;7.475,00;7.514,69;7.461,53;91,92M;0,52%;;;;
2011-04-28;7.475,22;7.450,57;7.480,33;7.426,62;138,73M;0,95%;;;;
2011-04-27;7.404,95;7.374,11;7.428,72;7.361,24;107,73M;0,66%;;;;
2011-04-26;7.356,51;7.288,77;7.359,97;7.278,52;83,58M;0,84%;;;;
2011-04-21;7.295,49;7.294,58;7.316,53;7.280,10;115,55M;0,64%;;;;
2011-04-20;7.249,19;7.137,10;7.261,26;7.136,74;142,61M;2,98%;;;;
2011-04-19;7.039,31;7.050,85;7.078,79;7.027,04;130,65M;0,18%;;;;
2011-04-18;7.026,85;7.165,99;7.174,75;6.994,56;163,93M;-2,11%;;;;
2011-04-15;7.178,29;7.166,98;7.193,38;7.144,96;187,05M;0,44%;;;;
2011-04-14;7.146,56;7.160,99;7.184,93;7.099,66;134,22M;-0,44%;;;;
2011-04-13;7.177,97;7.135,21;7.201,12;7.122,51;182,46M;1,06%;;;;
2011-04-12;7.102,91;7.131,44;7.177,74;7.089,17;147,60M;-1,42%;;;;
2011-04-11;7.204,86;7.215,34;7.224,74;7.157,33;108,14M;-0,17%;;;;
2011-04-08;7.217,02;7.226,79;7.232,87;7.195,44;117,23M;0,53%;;;;
2011-04-07;7.178,78;7.212,46;7.241,09;7.175,35;125,93M;-0,50%;;;;
2011-04-06;7.215,11;7.197,37;7.242,69;7.157,68;153,82M;0,55%;;;;
2011-04-05;7.175,31;7.174,69;7.186,35;7.129,41;104,32M;0,00%;;;;
2011-04-04;7.175,33;7.178,59;7.200,26;7.168,24;79,27M;-0,06%;;;;
2011-04-01;7.179,81;7.086,56;7.192,38;7.086,56;103,28M;1,97%;;;;
2011-03-31;7.041,31;7.068,29;7.079,76;7.041,31;96,95M;-0,22%;;;;
2011-03-30;7.057,15;7.010,77;7.065,27;7.002,77;100,54M;1,77%;;;;
2011-03-29;6.934,44;6.952,51;6.960,16;6.867,42;93,21M;-0,06%;;;;
2011-03-28;6.938,63;6.931,86;6.981,19;6.915,58;72,64M;-0,11%;;;;
2011-03-25;6.946,36;6.971,77;6.985,25;6.920,57;80,87M;0,18%;;;;
2011-03-24;6.933,58;6.798,08;6.941,72;6.787,04;103,54M;1,90%;;;;
2011-03-23;6.804,45;6.749,18;6.807,38;6.720,02;95,71M;0,35%;;;;
2011-03-22;6.780,97;6.823,08;6.826,03;6.765,06;119,67M;-0,52%;;;;
2011-03-21;6.816,12;6.782,30;6.829,75;6.781,30;218,42M;2,28%;;;;
2011-03-18;6.664,40;6.715,17;6.761,31;6.655,69;252,61M;0,11%;;;;
2011-03-17;6.656,88;6.557,85;6.692,83;6.517,18;146,28M;2,20%;;;;
2011-03-16;6.513,84;6.696,31;6.733,03;6.501,85;202,70M;-2,01%;;;;
2011-03-15;6.647,66;6.668,99;6.714,83;6.483,39;284,44M;-3,19%;;;;
2011-03-14;6.866,63;6.896,31;6.946,44;6.847,94;170,81M;-1,65%;;;;
2011-03-11;6.981,49;7.002,26;7.014,02;6.963,31;141,42M;-1,16%;;;;
2011-03-10;7.063,09;7.078,69;7.109,71;7.021,95;131,97M;-0,96%;;;;
2011-03-09;7.131,80;7.177,55;7.217,54;7.109,26;129,98M;-0,46%;;;;
2011-03-08;7.164,75;7.211,06;7.222,16;7.072,47;143,92M;0,04%;;;;
2011-03-07;7.161,93;7.137,81;7.270,81;7.127,31;86,67M;-0,24%;;;;
2011-03-04;7.178,90;7.262,54;7.311,25;7.157,12;97,46M;-0,65%;;;;
2011-03-03;7.225,96;7.225,23;7.294,04;7.191,14;95,32M;0,62%;;;;
2011-03-02;7.181,12;7.169,04;7.202,58;7.122,69;111,14M;-0,58%;;;;
2011-03-01;7.223,30;7.309,80;7.356,33;7.193,78;112,18M;-0,67%;;;;
2011-02-28;7.272,32;7.173,59;7.305,49;7.148,94;101,48M;1,21%;;;;
2011-02-25;7.185,17;7.139,88;7.194,02;7.130,15;114,08M;0,77%;;;;
2011-02-24;7.130,50;7.134,70;7.156,05;7.093,91;137,57M;-0,89%;;;;
2011-02-23;7.194,60;7.295,12;7.310,73;7.183,30;118,02M;-1,69%;;;;
2011-02-22;7.318,35;7.293,11;7.350,95;7.259,67;121,30M;-0,05%;;;;
2011-02-21;7.321,81;7.412,06;7.441,82;7.310,69;100,85M;-1,41%;;;;
2011-02-18;7.426,81;7.422,11;7.427,30;7.379,94;122,19M;0,29%;;;;
