date;Zuletzt
01.12.2011;6.035,88
30.11.2011;6.088,84
29.11.2011;5.799,91
28.11.2011;5.745,33
25.11.2011;5.492,87
24.11.2011;5.428,11
23.11.2011;5.457,77
22.11.2011;5.537,39
21.11.2011;5.606,00
18.11.2011;5.800,24
17.11.2011;5.850,17
16.11.2011;5.913,36
15.11.2011;5.933,14
14.11.2011;5.985,02
11.11.2011;6.057,03
10.11.2011;5.867,81
09.11.2011;5.829,54
08.11.2011;5.961,44
07.11.2011;5.928,68
04.11.2011;5.966,16
03.11.2011;6.133,18
02.11.2011;5.965,63
01.11.2011;5.834,51
31.10.2011;6.141,34
28.10.2011;6.346,19
27.10.2011;6.337,84
26.10.2011;6.016,07
25.10.2011;6.046,75
24.10.2011;6.055,27
21.10.2011;5.970,96
20.10.2011;5.766,48
19.10.2011;5.913,53
18.10.2011;5.877,41
17.10.2011;5.859,43
14.10.2011;5.967,20
13.10.2011;5.914,84
12.10.2011;5.994,47
11.10.2011;5.865,01
10.10.2011;5.847,29
07.10.2011;5.675,70
06.10.2011;5.645,25
05.10.2011;5.473,03
04.10.2011;5.216,71
03.10.2011;5.376,70
30.09.2011;5.502,02
29.09.2011;5.639,58
28.09.2011;5.578,42
27.09.2011;5.628,44
26.09.2011;5.345,56
23.09.2011;5.196,56
22.09.2011;5.164,21
21.09.2011;5.433,80
20.09.2011;5.571,68
19.09.2011;5.415,91
16.09.2011;5.573,51
15.09.2011;5.508,24
14.09.2011;5.340,19
13.09.2011;5.166,36
12.09.2011;5.072,33
09.09.2011;5.189,93
08.09.2011;5.408,46
07.09.2011;5.405,53
06.09.2011;5.193,97
05.09.2011;5.246,18
02.09.2011;5.538,33
01.09.2011;5.730,63
31.08.2011;5.784,85
30.08.2011;5.643,92
29.08.2011;5.670,07
26.08.2011;5.537,48
25.08.2011;5.584,14
24.08.2011;5.681,08
23.08.2011;5.532,38
22.08.2011;5.473,78
19.08.2011;5.480,00
18.08.2011;5.602,80
17.08.2011;5.948,94
16.08.2011;5.994,90
15.08.2011;6.022,24
12.08.2011;5.997,74
11.08.2011;5.797,66
10.08.2011;5.613,42
09.08.2011;5.917,08
08.08.2011;5.923,27
05.08.2011;6.236,16
04.08.2011;6.414,76
03.08.2011;6.640,59
02.08.2011;6.796,75
01.08.2011;6.953,98
29.07.2011;7.158,77
28.07.2011;7.190,06
27.07.2011;7.252,68
26.07.2011;7.349,45
25.07.2011;7.344,54
22.07.2011;7.326,39
21.07.2011;7.290,14
20.07.2011;7.221,36
19.07.2011;7.192,67
18.07.2011;7.107,92
15.07.2011;7.220,12
14.07.2011;7.214,74
13.07.2011;7.267,87
12.07.2011;7.174,14
11.07.2011;7.230,25
08.07.2011;7.402,73
07.07.2011;7.471,44
06.07.2011;7.431,19
05.07.2011;7.439,44
04.07.2011;7.442,96
01.07.2011;7.419,44
30.06.2011;7.376,24
29.06.2011;7.294,14
28.06.2011;7.170,43
27.06.2011;7.107,90
24.06.2011;7.121,38
23.06.2011;7.149,44
22.06.2011;7.278,19
21.06.2011;7.285,51
20.06.2011;7.150,21
17.06.2011;7.164,05
16.06.2011;7.110,20
15.06.2011;7.115,08
14.06.2011;7.204,79
13.06.2011;7.085,14
10.06.2011;7.069,90
09.06.2011;7.159,66
08.06.2011;7.060,23
07.06.2011;7.103,25
06.06.2011;7.084,57
03.06.2011;7.109,03
02.06.2011;7.074,12
01.06.2011;7.217,43
31.05.2011;7.293,69
30.05.2011;7.160,30
27.05.2011;7.163,47
26.05.2011;7.114,09
25.05.2011;7.170,94
24.05.2011;7.150,66
23.05.2011;7.121,52
20.05.2011;7.266,82
19.05.2011;7.358,23
18.05.2011;7.303,53
17.05.2011;7.256,65
16.05.2011;7.387,54
13.05.2011;7.403,31
12.05.2011;7.443,95
11.05.2011;7.495,05
10.05.2011;7.501,52
09.05.2011;7.410,52
06.05.2011;7.492,25
05.05.2011;7.376,96
04.05.2011;7.373,93
03.05.2011;7.500,70
02.05.2011;7.527,64
29.04.2011;7.514,46
28.04.2011;7.475,22
27.04.2011;7.404,95
26.04.2011;7.356,51
21.04.2011;7.295,49
20.04.2011;7.249,19
19.04.2011;7.039,31
18.04.2011;7.026,85
15.04.2011;7.178,29
14.04.2011;7.146,56
13.04.2011;7.177,97
12.04.2011;7.102,91
11.04.2011;7.204,86
08.04.2011;7.217,02
07.04.2011;7.178,78
06.04.2011;7.215,11
05.04.2011;7.175,31
04.04.2011;7.175,33
01.04.2011;7.179,81
31.03.2011;7.041,31
30.03.2011;7.057,15
29.03.2011;6.934,44
28.03.2011;6.938,63
25.03.2011;6.946,36
24.03.2011;6.933,58
23.03.2011;6.804,45
22.03.2011;6.780,97
21.03.2011;6.816,12
18.03.2011;6.664,40
17.03.2011;6.656,88
16.03.2011;6.513,84
15.03.2011;6.647,66
14.03.2011;6.866,63
11.03.2011;6.981,49
10.03.2011;7.063,09
09.03.2011;7.131,80
08.03.2011;7.164,75
07.03.2011;7.161,93
04.03.2011;7.178,90
03.03.2011;7.225,96
02.03.2011;7.181,12
01.03.2011;7.223,30
28.02.2011;7.272,32
25.02.2011;7.185,17
24.02.2011;7.130,50
23.02.2011;7.194,60
22.02.2011;7.318,35
21.02.2011;7.321,81
18.02.2011;7.426,81
17.02.2011;7.405,51
16.02.2011;7.414,30
15.02.2011;7.400,04
14.02.2011;7.396,63
11.02.2011;7.371,20
10.02.2011;7.340,28
09.02.2011;7.320,90
08.02.2011;7.323,24
07.02.2011;7.283,62
04.02.2011;7.216,21
03.02.2011;7.193,68
02.02.2011;7.183,67
01.02.2011;7.184,27
31.01.2011;7.077,48
28.01.2011;7.102,80
27.01.2011;7.155,58
26.01.2011;7.127,35
25.01.2011;7.059,01
24.01.2011;7.067,77
21.01.2011;7.062,42
20.01.2011;7.024,27
19.01.2011;7.082,76
18.01.2011;7.143,45
17.01.2011;7.078,06
14.01.2011;7.075,70
13.01.2011;7.075,11
12.01.2011;7.068,78
11.01.2011;6.941,57
10.01.2011;6.857,06
07.01.2011;6.947,84
06.01.2011;6.981,39
05.01.2011;6.939,82
04.01.2011;6.975,35
03.01.2011;6.989,74
30.12.2010;6.914,19
29.12.2010;6.995,47
28.12.2010;6.972,10
27.12.2010;6.970,73
23.12.2010;7.057,69
22.12.2010;7.067,92
21.12.2010;7.077,99
20.12.2010;7.018,60
17.12.2010;6.982,45
16.12.2010;7.024,40
15.12.2010;7.016,37
14.12.2010;7.027,40
13.12.2010;7.029,39
10.12.2010;7.006,17
09.12.2010;6.964,16
08.12.2010;6.975,87
07.12.2010;7.001,91
06.12.2010;6.954,38
03.12.2010;6.947,72
02.12.2010;6.957,61
01.12.2010;6.866,63
30.11.2010;6.688,49
29.11.2010;6.697,97
26.11.2010;6.848,98
25.11.2010;6.879,66
24.11.2010;6.823,80
23.11.2010;6.705,00
22.11.2010;6.822,05
19.11.2010;6.843,55
18.11.2010;6.832,11
17.11.2010;6.700,07
16.11.2010;6.663,24
15.11.2010;6.790,17
12.11.2010;6.734,61
11.11.2010;6.723,41
10.11.2010;6.719,84
09.11.2010;6.787,81
08.11.2010;6.750,50
05.11.2010;6.754,20
04.11.2010;6.734,69
03.11.2010;6.617,80
02.11.2010;6.654,31
01.11.2010;6.604,86
29.10.2010;6.601,37
28.10.2010;6.595,28
27.10.2010;6.568,00
26.10.2010;6.613,80
25.10.2010;6.639,21
22.10.2010;6.605,84
21.10.2010;6.611,01
20.10.2010;6.524,55
19.10.2010;6.490,69
18.10.2010;6.516,63
15.10.2010;6.492,30
14.10.2010;6.455,27
13.10.2010;6.434,52
12.10.2010;6.304,57
11.10.2010;6.309,51
08.10.2010;6.291,67
07.10.2010;6.276,25
06.10.2010;6.270,73
05.10.2010;6.215,83
04.10.2010;6.134,21
01.10.2010;6.211,34
30.09.2010;6.229,02
29.09.2010;6.246,92
28.09.2010;6.276,09
27.09.2010;6.278,89
24.09.2010;6.298,30
23.09.2010;6.184,71
22.09.2010;6.208,33
21.09.2010;6.275,98
20.09.2010;6.294,58
17.09.2010;6.209,76
16.09.2010;6.249,65
15.09.2010;6.261,87
14.09.2010;6.275,41
13.09.2010;6.261,68
10.09.2010;6.214,77
09.09.2010;6.221,52
08.09.2010;6.164,44
07.09.2010;6.117,89
06.09.2010;6.155,04
03.09.2010;6.134,62
02.09.2010;6.083,85
01.09.2010;6.083,90
31.08.2010;5.925,22
30.08.2010;5.912,41
27.08.2010;5.951,17
26.08.2010;5.912,58
25.08.2010;5.899,50
24.08.2010;5.935,44
23.08.2010;6.010,91
20.08.2010;6.005,16
19.08.2010;6.075,13
18.08.2010;6.186,31
17.08.2010;6.206,40
16.08.2010;6.110,57
13.08.2010;6.110,41
12.08.2010;6.135,17
11.08.2010;6.154,07
10.08.2010;6.286,25
09.08.2010;6.351,60
06.08.2010;6.259,63
05.08.2010;6.333,58
04.08.2010;6.331,33
03.08.2010;6.307,91
02.08.2010;6.292,13
30.07.2010;6.147,97
29.07.2010;6.134,70
28.07.2010;6.178,94
27.07.2010;6.207,31
26.07.2010;6.194,21
23.07.2010;6.166,34
22.07.2010;6.142,15
21.07.2010;5.990,38
20.07.2010;5.967,49
19.07.2010;6.009,11
16.07.2010;6.040,27
15.07.2010;6.149,36
14.07.2010;6.209,76
13.07.2010;6.191,13
12.07.2010;6.077,19
09.07.2010;6.065,24
08.07.2010;6.035,66
07.07.2010;5.992,86
06.07.2010;5.940,98
05.07.2010;5.816,20
02.07.2010;5.834,15
01.07.2010;5.857,43
30.06.2010;5.965,52
29.06.2010;5.952,03
28.06.2010;6.157,22
25.06.2010;6.070,60
24.06.2010;6.115,48
23.06.2010;6.204,52
22.06.2010;6.269,04
21.06.2010;6.292,97
18.06.2010;6.216,98
17.06.2010;6.223,54
16.06.2010;6.190,91
15.06.2010;6.175,05
14.06.2010;6.125,00
11.06.2010;6.047,83
10.06.2010;6.056,59
09.06.2010;5.984,75
08.06.2010;5.868,55
07.06.2010;5.904,95
04.06.2010;5.938,88
03.06.2010;6.054,63
02.06.2010;5.981,20
01.06.2010;5.981,27
31.05.2010;5.964,33
28.05.2010;5.946,18
27.05.2010;5.937,14
26.05.2010;5.758,02
25.05.2010;5.670,04
24.05.2010;5.805,68
21.05.2010;5.829,25
20.05.2010;5.867,88
19.05.2010;5.988,67
18.05.2010;6.155,93
17.05.2010;6.066,92
14.05.2010;6.056,71
13.05.2010;6.251,97
12.05.2010;6.183,49
11.05.2010;6.037,71
10.05.2010;6.017,91
07.05.2010;5.715,09
06.05.2010;5.908,26
05.05.2010;5.958,45
04.05.2010;6.006,86
03.05.2010;6.166,92
